GEOID,med_hhinc
06001400100,250001
06001400200,225880
06001400300,157731
06001400400,159612
06001400500,96250
06001400600,134583
06001400700,111302
06001400800,129844
06001400900,111131
06001401000,131845
06001401100,95479
06001401200,117593
06001401300,105556
06001401400,87208
06001401500,62744
06001401600,135234
06001401700,146840
06001401800,69500
06001402200,111364
06001402400,42078
06001402500,
06001402600,48362
06001402700,97250
06001402801,42546
06001402802,18552
06001402900,41094
06001403000,50966
06001403100,154095
06001403301,35694
06001403302,142114
06001403401,71979
06001403402,91731
06001403501,123981
06001403502,95556
06001403600,105588
06001403701,91030
06001403702,120795
06001403800,153750
06001403900,104342
06001404000,104919
06001404101,123508
06001404102,108750
06001404200,246193
06001404300,215972
06001404400,218272
06001404501,239271
06001404502,246431
06001404600,226838
06001404700,250001
06001404800,97813
06001404900,131921
06001405000,146932
06001405100,250001
06001405200,107298
06001405301,113299
06001405302,63906
06001405401,73179
06001405402,52738
06001405500,82740
06001405600,86250
06001405700,77372
06001405800,68859
06001405901,62543
06001405902,70536
06001406000,58197
06001406100,67373
06001406201,66518
06001406202,51958
06001406300,59722
06001406400,67708
06001406500,71167
06001406601,72208
06001406602,73214
06001406700,148007
06001406800,122525
06001406900,150949
06001407000,81959
06001407101,65144
06001407102,85375
06001407200,67008
06001407300,82639
06001407400,51944
06001407500,49643
06001407600,87599
06001407700,123107
06001407800,119188
06001407900,115500
06001408000,207750
06001408100,182083
06001408200,84496
06001408300,123939
06001408400,74801
06001408500,87292
06001408600,76375
06001408700,46786
06001408800,40981
06001408900,45045
06001409000,77284
06001409100,72697
06001409200,77339
06001409300,66288
06001409400,86286
06001409500,46750
06001409600,58750
06001409700,40870
06001409800,104125
06001409900,190813
06001410000,196500
06001410100,90388
06001410200,79675
06001410300,44167
06001410400,115268
06001410500,59402
06001420100,204352
06001420200,159563
06001420301,122578
06001420302,125486
06001420401,77083
06001420402,92000
06001420500,137000
06001420600,181678
06001421100,244276
06001421200,250001
06001421300,128125
06001421400,235000
06001421500,222321
06001421600,228547
06001421700,114725
